OID_,FORESTNAME,ELEV_MIN,ELEV_MAX,ELEV_MEAN,SLOPE_MIN,SLOPE_MAX,SLOPE_MEAN,SNOW_MIN,SNOW_MAX,SNOW_MEAN,MEAN_TEMP,MEAN_PRECIP,MEAN_EVAP,MEAN_SM,WATER_ICE,WETLANDS,BARREN,DEVELOPED,FOREST,SHRUB_SCRUB,HERBACEOUS,AGRICULTURE,TOTAL_AREA,PER_FOREST,PER_CHG_FOREST,PER_CHG_BARREN,PER_CHG_SCRUB,MIN_DM,MAX_DM,GIS_ACRES,FIRE_COUNT,SUM_FIRES_ACRES,FOREST_ACRES,ACRES_BURNED,PER_BURNED
1,Manti-La Sal National Forest,1601.830322265625000,2651.204101562500000,2217.525984546770815,0.000000000000000,77.892822265625000,15.165909414420620,37.198089599609375,69.290290832519531,51.349867926703560,0.000452326683633,-0.543820622962001,-0.223676815053247,-5.914356170776276,462600.000000000000000,402300.000000000000000,0.000000000000000,9900.000000000000000,98749800.000000000000000,10044000.000000000000000,23400.000000000000000,33300.000000000000000,109725300.000000000000000,89.9972916,-16.4123878,,127.8046570,2.000000000000000,2.000000000000000,1414225.104000000050291,32,43265.622548771898437,45255203.335289999842644,19463.909549082098238,0.095603641924272
2,Pike and San Isabel National Forests,1079.506713867187500,4397.064453125000000,2523.039292672546708,0.000000000000000,82.674926757812500,11.892423193626206,15.129187583923340,315.513732910156250,80.136814739263173,0.057363062214579,-9.165486022401566,-1.156856862642459,-116.113748926635438,60543900.000000000000000,242191800.000000000000000,232656300.000000000000000,149205600.000000000000000,6698547000.000000000000000,2700645300.000000000000000,4049189100.000000000000000,545958900.000000000000000,14678937900.000000000000000,45.6337318,-8.8893204,0.0592211,5.5582051,0.000000000000000,3.000000000000000,3969061.330999999772757,211,1797548.375290409894660,817626835.232362031936646,861129.408817755989730,0.219849483631437
3,Rio Grande National Forest,2297.851074218750000,4370.124023437500000,3181.772911780653430,0.000000000000000,81.552482604980469,14.908398996330686,23.465620040893555,572.238525390625000,93.231188589405107,0.074267887985656,-21.356784473747901,-1.916434196701404,-114.766143525689131,17948700.000000000000000,319266000.000000000000000,193770900.000000000000000,24151500.000000000000000,4708823400.000000000000000,1192743000.000000000000000,1380947400.000000000000000,2194200.000000000000000,7839845100.000000000000000,60.0627098,-5.6910648,1.6371387,9.5048552,0.000000000000000,2.000000000000000,1937290.914000000106171,19,192761.289693811006146,23247490.733356699347496,192514.279156817006879,0.829170304463127
4,Carson National Forest,2168.395996093750000,3183.350585937500000,2745.383132405102970,0.201588794589043,27.702257156372070,7.415181812491717,,,,0.000049162618426,-0.001583614633553,-0.000396739842773,-0.018192854022985,0.000000000000000,6300.000000000000000,0.000000000000000,0.000000000000000,235800.000000000000000,210600.000000000000000,8100.000000000000000,900.000000000000000,461700.000000000000000,51.0721245,-6.1068702,,6.8376069,0.000000000000000,3.000000000000000,1592474.057000000029802,,0.000000000000000,0.000000000000000,0.000000000000000,
5,San Juan National Forest,1914.720336914062500,4345.068359375000000,2843.456776488618743,0.000000000000000,85.219154357910156,16.136766965842408,55.319179534912109,475.874755859375000,162.832967910908792,-0.172107532129443,-13.683346165907848,-3.912007930155875,-117.549235328925207,40147200.000000000000000,126782100.000000000000000,318201300.000000000000000,41111100.000000000000000,6355292400.000000000000000,764892900.000000000000000,775692000.000000000000000,54660600.000000000000000,8476779600.000000000000000,74.9729614,-8.1505804,0.4015414,12.3169012,0.000000000000000,2.000000000000000,2094659.982000000076368,133,353391.102920382982120,270211137.299876987934113,345857.618700248014648,0.130783322423973
6,Arapaho and Roosevelt National Forests,1309.741699218750000,4350.785156250000000,2428.678390491240407,0.000000000000000,83.726501464843750,11.039901035177868,31.067193984985352,359.763061523437500,98.665171225395440,0.315387032983375,-6.377512434750437,-2.534740093348501,-121.359599780029029,120256200.000000000000000,149505300.000000000000000,80115300.000000000000000,108894600.000000000000000,5175721800.000000000000000,1097447400.000000000000000,3216545100.000000000000000,135121500.000000000000000,10083607200.000000000000000,51.3280792,-5.3192406,-2.8887799,9.2152939,0.000000000000000,2.000000000000000,2491799.081999999936670,234,829925.398934053955600,575605587.991914987564087,593987.905559628037736,0.144182998957562
7,"Grand Mesa, Uncompahgre and Gunnison National Forests",1439.825561523437500,4363.919433593750000,2962.433464091949190,0.000000000000000,84.800209045410156,14.548037498468180,41.248699188232422,319.188568115234375,142.712368212740841,0.047651306419701,-18.214011940322425,-3.203814996017908,-131.664107937749748,32558400.000000000000000,265593600.000000000000000,413562600.000000000000000,56646000.000000000000000,9211095900.000000000000000,2000663100.000000000000000,762555600.000000000000000,17900100.000000000000000,12760575300.000000000000000,72.1840210,-1.7009246,-0.1816010,3.4742432,0.000000000000000,2.000000000000000,3153230.376999999862164,130,230616.971875410992652,409919946.902168989181519,140190.334660536987940,0.056259026577804
8,White River National Forest,1662.149536132812500,4349.567382812500000,3032.734070026036534,0.000000000000000,86.999504089355469,16.660516073276693,44.073471069335938,333.577667236328125,165.974394785174866,0.218561564985114,-10.231778938328684,-2.121495777436026,-112.971485744723026,112129200.000000000000000,219166200.000000000000000,230155200.000000000000000,138692700.000000000000000,6592036500.000000000000000,2361395700.000000000000000,381430800.000000000000000,12205800.000000000000000,10047212100.000000000000000,65.6106033,-2.3213508,-0.2523647,2.1615057,1.000000000000000,2.000000000000000,2482714.459999999962747,114,148452.601532967993990,270615875.820760011672974,121096.032457855995744,0.054857314295668
9,Medicine Bow-Routt National Forest,2038.511108398437500,3948.346923828125000,2856.328038823750376,0.000000000000000,79.200210571289062,12.221928736911178,48.811904907226562,562.850036621093750,206.750271709109882,0.077395293099288,0.309107856447234,-2.455189914134230,-99.358062877489573,36741600.000000000000000,194475600.000000000000000,24546600.000000000000000,12482100.000000000000000,4413255300.000000000000000,743826600.000000000000000,166975200.000000000000000,7918200.000000000000000,5600221200.000000000000000,78.8050156,-5.6656342,12.8190279,13.1256399,0.000000000000000,3.000000000000000,4592857.427000000141561,52,464057.197569561016280,211271441.675004005432129,209980.920967070007464,0.219649751944900
